CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,165,11,372.86,1,4,2,142,Others
12347.0,3,2,1323.32,4,2,3,423,Others
12348.0,74,1,222.16,2,1,1,211,Others
12349.0,43,3,2671.14,3,3,4,334,Others
12351.0,11,1,300.93,4,1,1,411,Others
12352.0,11,2,343.8,4,2,2,422,Others
12353.0,44,1,317.76,3,1,2,312,Others
12355.0,203,1,488.21000000000004,1,1,2,112,Others
12356.0,16,3,3560.3,4,3,4,434,Others
12357.0,24,2,12079.99,3,2,4,324,Others
12358.0,11,3,2719.01,4,3,4,434,Others
12359.0,61,6,2563.36,2,4,4,244,Others
12360.0,15,5,1590.83,4,3,3,433,Others
12361.0,98,3,321.35,2,3,2,232,Others
12362.0,374,1,130.0,1,1,1,111,Others
12366.0,269,1,500.24,1,1,2,112,Others
12368.0,264,1,917.6999999999999,1,1,3,113,Others
12369.0,49,3,1791.15,3,3,4,334,Others
12370.0,260,3,774.62,1,3,3,133,Others
12371.0,45,3,2179.42,3,3,4,334,Others
12373.0,260,2,763.0500000000001,1,2,3,123,Others
12374.0,57,3,2246.29,2,3,4,234,Others
12376.0,25,2,503.15,3,2,2,322,Others
12377.0,17,2,1798.2,4,2,4,424,Others
12378.0,198,1,1407.7,1,1,3,113,Others
12379.0,58,2,767.98,2,2,3,223,Others
12380.0,101,7,6951.49,2,4,4,244,Others
12385.0,15,1,1938.4,4,1,4,414,Others
12386.0,2,1,258.9,4,1,1,411,Others
12387.0,51,1,143.94,3,1,1,311,Others
12388.0,81,2,1120.45,2,2,3,223,Others
12389.0,38,3,1433.33,3,3,3,333,Others
12391.0,100,5,2285.18,2,3,4,234,Others
12392.0,227,1,234.75000000000003,1,1,1,111,Others
12393.0,18,2,816.85,4,2,3,423,Others
12395.0,7,4,2048.64,4,3,4,434,Others
12396.0,310,1,931.43,1,1,3,113,Others
12399.0,21,3,853.65,3,3,3,333,Others
12400.0,50,1,205.25,3,1,1,311,Others
12402.0,28,5,1031.3,3,3,3,333,Others
12403.0,157,1,591.6600000000001,1,1,2,112,Others
12404.0,318,1,63.24,1,1,1,111,Others
12406.0,35,3,2975.06,3,3,4,334,Others
12408.0,21,3,1452.22,3,3,3,333,Others
12409.0,56,4,12346.619999999999,2,3,4,234,Others
12410.0,138,1,320.38,1,1,2,112,Others
12411.0,45,1,346.9,3,1,2,312,Others
12412.0,38,3,1370.05,3,3,3,333,Others
12413.0,38,1,241.35,3,1,1,311,Others
12414.0,99,3,390.0,2,3,2,232,Others
12415.0,11,7,19543.84,4,4,4,444,Best Customers
12416.0,292,1,202.56,1,1,1,111,Others
12417.0,46,11,3148.31,3,4,4,344,Others
12418.0,49,3,1352.62,3,3,3,333,Others
12419.0,21,2,503.01,3,2,2,322,Others
12421.0,51,2,291.56,3,2,1,321,Others
12422.0,30,14,4428.24,3,4,4,344,Others
12423.0,23,2,763.08,3,2,3,323,Others
12424.0,58,2,1579.07,2,2,3,223,Others
12425.0,84,1,964.21,2,1,3,213,Others
12426.0,298,1,762.48,1,1,3,113,Others
12427.0,7,1,303.5,4,1,1,411,Others
12429.0,1,5,3735.51,4,3,4,434,Others
12431.0,9,13,4370.52,4,4,4,444,Best Customers
12433.0,2,5,7205.39,4,3,4,434,Others
12434.0,17,1,297.29,4,1,1,411,Others
12435.0,32,4,6096.04,3,3,4,334,Others
12437.0,31,21,7731.99,3,4,4,344,Others
12439.0,318,2,1142.88,1,2,3,123,Others
12440.0,98,2,859.2,2,2,3,223,Others
12441.0,2,1,173.55,4,1,1,411,Others
12443.0,368,1,485.31,1,1,2,112,Others
12445.0,56,1,301.58000000000004,2,1,1,211,Others
12449.0,46,2,768.6,3,2,3,323,Others
12450.0,35,3,490.32,3,3,2,332,Others
12451.0,99,3,3634.36,2,3,4,234,Others
12454.0,31,4,13151.44,3,3,4,334,Others
12455.0,81,4,3413.09,2,3,4,234,Others
12457.0,71,1,632.68,2,1,2,212,Others
12458.0,63,2,830.09,2,2,3,223,Others
12459.0,241,1,454.36,1,1,2,112,Others
12460.0,92,1,326.65,2,1,2,212,Others
12466.0,318,1,56.73,1,1,1,111,Others
12467.0,59,1,132.8,2,1,1,211,Others
12468.0,162,3,2941.2,1,3,4,134,Others
12469.0,158,2,3070.54,1,2,4,124,Others
12470.0,325,1,211.95,1,1,1,111,Others
12471.0,10,49,20129.54,4,4,4,444,Best Customers
12472.0,5,13,11308.48,4,4,4,444,Best Customers
12474.0,14,13,5048.66,4,4,4,444,Best Customers
12475.0,45,1,426.26,3,1,2,312,Others
12476.0,32,12,7267.49,3,4,4,344,Others
12477.0,35,3,7056.63,3,3,4,334,Others
12480.0,35,3,2183.2200000000003,3,3,4,334,Others
12481.0,1,6,6765.07,4,4,4,444,Best Customers
12482.0,212,29,23691.4,1,4,4,144,Others
12483.0,14,11,2612.2000000000003,4,4,4,444,Best Customers
12484.0,119,6,1826.78,2,4,4,244,Others
12485.0,165,1,708.1,1,1,3,113,Others
12486.0,67,1,1037.28,2,1,3,213,Others
12487.0,366,1,285.29999999999995,1,1,1,111,Others
12490.0,14,11,4405.71,4,4,4,444,Best Customers
12492.0,39,1,452.0,3,1,2,312,Others
12494.0,1,3,626.77,4,3,2,432,Others
12495.0,276,1,357.4,1,1,2,112,Others
12496.0,256,2,45.34,1,2,1,121,Others
12497.0,36,2,5205.400000000001,3,2,4,324,Others
12499.0,196,1,393.72,1,1,2,112,Others
12500.0,71,8,1697.39,2,4,3,243,Others
12503.0,220,1,1126.0,1,1,3,113,Others
12504.0,53,2,297.0,3,2,1,321,Others
12505.0,44,1,955.2,3,1,3,313,Others
12507.0,220,1,539.25,1,1,2,112,Others
12510.0,95,7,4195.45,2,4,4,244,Others
12511.0,64,1,3084.02,2,1,4,214,Others
12514.0,277,1,580.08,1,1,2,112,Others
12516.0,66,2,1336.56,2,2,3,223,Others
12519.0,112,1,385.7,2,1,2,212,Others
12523.0,10,12,2562.58,4,4,4,444,Best Customers
12524.0,24,9,6640.39,3,4,4,344,Others
12525.0,134,3,973.73,2,3,3,233,Others
12527.0,130,2,386.8,2,2,2,222,Others
12529.0,164,1,316.48,1,1,2,112,Others
12530.0,51,5,2096.98,3,3,4,334,Others
12531.0,322,1,1807.98,1,1,4,114,Others
12533.0,263,2,1367.89,1,2,3,123,Others
12537.0,44,1,732.94,3,1,3,313,Others
12538.0,14,1,276.5,4,1,1,411,Others
12539.0,86,3,5646.400000000001,2,3,4,234,Others
12540.0,14,16,8854.25,4,4,4,444,Best Customers
12542.0,120,2,481.88,2,2,2,222,Others
12543.0,84,1,980.25,2,1,3,213,Others
